"Notes"	"State"	"State Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
	"North Dakota"	"38"	"Medical Facility - Dead on Arrival"	"3"	65	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"North Dakota"	"38"	"Decedent's home"	"4"	3143	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Hospice facility"	"5"	80	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Nursing home/long term care"	"6"	5118	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Other"	"7"	643	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Ohio"	"39"	"Medical Facility - Inpatient"	"1"	73641	Not Applicable	Not Applicable
	"Ohio"	"39"	"Medical Facility - Outpatient or ER"	"2"	19111	Not Applicable	Not Applicable
	"Ohio"	"39"	"Medical Facility - Dead on Arrival"	"3"	1088	Not Applicable	Not Applicable
	"Ohio"	"39"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Ohio"	"39"	"Decedent's home"	"4"	74925	Not Applicable	Not Applicable
	"Ohio"	"39"	"Hospice facility"	"5"	33760	Not Applicable	Not Applicable
	"Ohio"	"39"	"Nursing home/long term care"	"6"	72089	Not Applicable	Not Applicable
	"Ohio"	"39"	"Other"	"7"	11727	Not Applicable	Not Applicable
	"Ohio"	"39"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Medical Facility - Inpatient"	"1"	29554	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Medical Facility - Outpatient or ER"	"2"	7578	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Medical Facility - Dead on Arrival"	"3"	117	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Oklahoma"	"40"	"Decedent's home"	"4"	29825	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Hospice facility"	"5"	3608	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Nursing home/long term care"	"6"	18496	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Other"	"7"	5360	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Oregon"	"41"	"Medical Facility - Inpatient"	"1"	20335	Not Applicable	Not Applicable
	"Oregon"	"41"	"Medical Facility - Outpatient or ER"	"2"	3583	Not Applicable	Not Applicable
	"Oregon"	"41"	"Medical Facility - Dead on Arrival"	"3"	49	Not Applicable	Not Applicable
	"Oregon"	"41"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Oregon"	"41"	"Decedent's home"	"4"	33279	Not Applicable	Not Applicable
	"Oregon"	"41"	"Hospice facility"	"5"	2561	Not Applicable	Not Applicable
	"Oregon"	"41"	"Nursing home/long term care"	"6"	17317	Not Applicable	Not Applicable
	"Oregon"	"41"	"Other"	"7"	7913	Not Applicable	Not Applicable
	"Oregon"	"41"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Medical Facility - Inpatient"	"1"	86693	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Medical Facility - Outpatient or ER"	"2"	16418	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Medical Facility - Dead on Arrival"	"3"	1517	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Pennsylvania"	"42"	"Decedent's home"	"4"	89406	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Hospice facility"	"5"	24053	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Nursing home/long term care"	"6"	86252	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Other"	"7"	12732	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Place of death unknown"	"9"	12	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Medical Facility - Inpatient"	"1"	5432	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Medical Facility - Outpatient or ER"	"2"	2014	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Medical Facility - Dead on Arrival"	"3"	116	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Rhode Island"	"44"	"Decedent's home"	"4"	5227	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Hospice facility"	"5"	3247	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Nursing home/long term care"	"6"	6962	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Other"	"7"	557	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Place of death unknown"	"9"	216	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Medical Facility - Inpatient"	"1"	34415	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Medical Facility - Outpatient or ER"	"2"	8272	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Medical Facility - Dead on Arrival"	"3"	265	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"South Carolina"	"45"	"Decedent's home"	"4"	38787	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Hospice facility"	"5"	10746	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Nursing home/long term care"	"6"	16242	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Other"	"7"	5722	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Place of death unknown"	"9"	17	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Medical Facility - Inpatient"	"1"	5245	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Medical Facility - Outpatient or ER"	"2"	1036	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Medical Facility - Dead on Arrival"	"3"	34	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"South Dakota"	"46"	"Decedent's home"	"4"	3901	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Hospice facility"	"5"	1491	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Nursing home/long term care"	"6"	5961	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Other"	"7"	831	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Medical Facility - Inpatient"	"1"	50188	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Medical Facility - Outpatient or ER"	"2"	13866	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Medical Facility - Dead on Arrival"	"3"	4642	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Tennessee"	"47"	"Decedent's home"	"4"	47603	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Hospice facility"	"5"	7525	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Nursing home/long term care"	"6"	30493	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Other"	"7"	7458	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Place of death unknown"	"9"	64	Not Applicable	Not Applicable
	"Texas"	"48"	"Medical Facility - Inpatient"	"1"	144602	Not Applicable	Not Applicable
	"Texas"	"48"	"Medical Facility - Outpatient or ER"	"2"	33756	Not Applicable	Not Applicable
	"Texas"	"48"	"Medical Facility - Dead on Arrival"	"3"	717	Not Applicable	Not Applicable
	"Texas"	"48"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Texas"	"48"	"Decedent's home"	"4"	141142	Not Applicable	Not Applicable
	"Texas"	"48"	"Hospice facility"	"5"	26855	Not Applicable	Not Applicable
	"Texas"	"48"	"Nursing home/long term care"	"6"	85860	Not Applicable	Not Applicable
	"Texas"	"48"	"Other"	"7"	26784	Not Applicable	Not Applicable
	"Texas"	"48"	"Place of death unknown"	"9"	76	Not Applicable	Not Applicable
	"Utah"	"49"	"Medical Facility - Inpatient"	"1"	9295	Not Applicable	Not Applicable
	"Utah"	"49"	"Medical Facility - Outpatient or ER"	"2"	1928	Not Applicable	Not Applicable
	"Utah"	"49"	"Medical Facility - Dead on Arrival"	"3"	52	Not Applicable	Not Applicable
	"Utah"	"49"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Utah"	"49"	"Decedent's home"	"4"	21502	Not Applicable	Not Applicable
	"Utah"	"49"	"Hospice facility"	"5"	51	Not Applicable	Not Applicable
	"Utah"	"49"	"Nursing home/long term care"	"6"	6241	Not Applicable	Not Applicable
	"Utah"	"49"	"Other"	"7"	3175	Not Applicable	Not Applicable
	"Utah"	"49"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Vermont"	"50"	"Medical Facility - Inpatient"	"1"	3760	Not Applicable	Not Applicable
	"Vermont"	"50"	"Medical Facility - Outpatient or ER"	"2"	617	Not Applicable	Not Applicable
	"Vermont"	"50"	"Medical Facility - Dead on Arrival"	"3"	34	Not Applicable	Not Applicable
	"Vermont"	"50"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Vermont"	"50"	"Decedent's home"	"4"	4514	Not Applicable	Not Applicable
	"Vermont"	"50"	"Hospice facility"	"5"	638	Not Applicable	Not Applicable
	"Vermont"	"50"	"Nursing home/long term care"	"6"	3801	Not Applicable	Not Applicable
	"Vermont"	"50"	"Other"	"7"	711	Not Applicable	Not Applicable
	"Vermont"	"50"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Virginia"	"51"	"Medical Facility - Inpatient"	"1"	50434	Not Applicable	Not Applicable
	"Virginia"	"51"	"Medical Facility - Outpatient or ER"	"2"	9414	Not Applicable	Not Applicable
	"Virginia"	"51"	"Medical Facility - Dead on Arrival"	"3"	764	Not Applicable	Not Applicable
	"Virginia"	"51"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Virginia"	"51"	"Decedent's home"	"4"	51684	Not Applicable	Not Applicable
	"Virginia"	"51"	"Hospice facility"	"5"	5488	Not Applicable	Not Applicable
	"Virginia"	"51"	"Nursing home/long term care"	"6"	30966	Not Applicable	Not Applicable
	"Virginia"	"51"	"Other"	"7"	9624	Not Applicable	Not Applicable
	"Virginia"	"51"	"Place of death unknown"	"9"	123	Not Applicable	Not Applicable
	"Washington"	"53"	"Medical Facility - Inpatient"	"1"	38059	Not Applicable	Not Applicable
	"Washington"	"53"	"Medical Facility - Outpatient or ER"	"2"	4022	Not Applicable	Not Applicable
	"Washington"	"53"	"Medical Facility - Dead on Arrival"	"3"	89	Not Applicable	Not Applicable
	"Washington"	"53"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Washington"	"53"	"Decedent's home"	"4"	45500	Not Applicable	Not Applicable
	"Washington"	"53"	"Hospice facility"	"5"	9113	Not Applicable	Not Applicable
	"Washington"	"53"	"Nursing home/long term care"	"6"	27038	Not Applicable	Not Applicable
	"Washington"	"53"	"Other"	"7"	7830	Not Applicable	Not Applicable
	"Washington"	"53"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"West Virginia"	"54"	"Medical Facility - Inpatient"	"1"	16633	Not Applicable	Not Applicable
	"West Virginia"	"54"	"Medical Facility - Outpatient or ER"	"2"	3856	Not Applicable	Not Applicable
	"West Virginia"	"54"	"Medical Facility - Dead on Arrival"	"3"	241	Not Applicable	Not Applicable
	"West Virginia"	"54"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"West Virginia"	"54"	"Decedent's home"	"4"	16265	Not Applicable	Not Applicable
	"West Virginia"	"54"	"Hospice facility"	"5"	1683	Not Applicable	Not Applicable
	"West Virginia"	"54"	"Nursing home/long term care"	"6"	13055	Not Applicable	Not Applicable
	"West Virginia"	"54"	"Other"	"7"	2594	Not Applicable	Not Applicable
	"West Virginia"	"54"	"Place of death unknown"	"9"	12	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Medical Facility - Inpatient"	"1"	31609	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Medical Facility - Outpatient or ER"	"2"	4705	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Medical Facility - Dead on Arrival"	"3"	238	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Wisconsin"	"55"	"Decedent's home"	"4"	34026	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Hospice facility"	"5"	10205	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Nursing home/long term care"	"6"	25527	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Other"	"7"	16481	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Medical Facility - Inpatient"	"1"	3050	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Medical Facility - Outpatient or ER"	"2"	733	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Medical Facility - Dead on Arrival"	"3"	19	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Wyoming"	"56"	"Decedent's home"	"4"	3357	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Hospice facility"	"5"	1258	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Nursing home/long term care"	"6"	2214	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Other"	"7"	753	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"---"
"Dataset: Underlying Cause of Death, 1999-2018"
"Query Parameters:"
"Year/Month: Jan., 2015; Feb., 2015; Mar., 2015; Apr., 2015; May, 2015; Jun., 2015; Jul., 2015; Jan., 2016; Feb., 2016; Mar.,"
"2016; Apr., 2016; May, 2016; Jun., 2016; Jul., 2016; Jan., 2017; Feb., 2017; Mar., 2017; Apr., 2017; May, 2017; Jun., 2017;"
"Jul., 2017; Jan., 2018; Feb., 2018; Mar., 2018; Apr., 2018; May, 2018; Jun., 2018; Jul., 2018"
"Group By: State; Place of Death"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Sep 16, 2020 9:52:57 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/ucd-icd10.html on Sep 16, 2020 9:52:57 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/ucd.html#NotApplicableRates."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable."
"4. The Place of Death category 'Medical Facility - Status unknown' is only available from 1999 - 2002, and 'Hospice facility' is"
"only available for 2003 and later."
